Dimension,Category,Resolution,,,,,,,,,,,,,,,,,,
Hazards & Exposure,Natural,Subnational (adm2),,,,,,,,,,,,,,,,,,
Hazards & Exposure,Natural,0,,,,,Subnational (adm2),Subnational (adm1),Subnational (adm1),National (adm0),,,,,,,,,,
Hazards & Exposure,Natural,Subnational (adm1),,,,Total,,,Subnational data found,National data found,Data yet to be found,,Total,,,,,,,
Hazards & Exposure,Natural,Subnational (adm2),,Natural,Natural Hazards,19,8,5,13,0,6,,19,,,,,,,
Hazards & Exposure,Natural,Subnational (adm2),,Human,Human Hazards,6,0,3,3,1,2,,6,,,,,,,
Hazards & Exposure,Natural,Subnational (adm1),,Socio-Economics,Socio-Economics Vulnerability,12,0,8,8,3,1,,12,,,,,,,
Hazards & Exposure,Natural,Subnational (adm2),,Vulnerable Groups,Vulnerable Groups,19,0,8,8,4,7,,19,,,,,,,
Hazards & Exposure,Natural,0,,Infrastructure,Infrastructure Capacity,17,0,10,10,6,1,,17,,,,,,,
Hazards & Exposure,Natural,Subnational (adm2),,Institutional,Institutional Capacity,5,0,1,1,3,1,,5,,,,,,,
Hazards & Exposure,Natural,0,,,,,,,,,,,,,,,,,,
Hazards & Exposure,Natural,Subnational (adm2),,,Total,,,,43,17,18,,78,,,,,,,
Hazards & Exposure,Natural,Subnational (adm2),,,,,,,,,,,,,,,,,,
Hazards & Exposure,Natural,Subnational (adm2),,,,,,,,,,,,,,,,,,
Hazards & Exposure,Natural,Subnational (adm1),,,,,,,,,,,,,,,,,,
Hazards & Exposure,Natural,Subnational (adm1),,,,,,,,,,,,,,,,,,
Hazards & Exposure,Natural,Subnational (adm1),,,,,,,,,,,,,,,,,,
Hazards & Exposure,Natural,0,,,,,,,,,,,,,,,,,,
Hazards & Exposure,Natural,0,,,,,,,,,,,,,,,,,,
Hazards & Exposure,Natural,0,,,,,,,,,,,,,,,,,,
Hazards & Exposure,Human,Subnational (adm1),,,,,,,,,,,,,,,,,,
Hazards & Exposure,Human,National (adm0),,,,,,,,,,,,,,,,,,
Hazards & Exposure,Human,0,,,,,,,,,,,,,,,,,,
Hazards & Exposure,Human,Subnational (adm1),,,,,,,,,,,,,,,,,,
Hazards & Exposure,Human,Subnational (adm1),,,,,,,,,,,,,,,,,,
Hazards & Exposure,Human,0,,,,,,,,,,,,,,,,,,
Vulnerability,Socio-Economics,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Socio-Economics,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Socio-Economics,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Socio-Economics,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Socio-Economics,National (adm0),,,,,,,,,,,,,,,,,,
Vulnerability,Socio-Economics,National (adm0),,,,,,,,,,,,,,,,,,
Vulnerability,Socio-Economics,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Socio-Economics,National (adm0),,,,,,,,,,,,,,,,,,
Vulnerability,Socio-Economics,0,,,,,,,,,,,,,,,,,,
Vulnerability,Socio-Economics,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Socio-Economics,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Socio-Economics,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,National (adm0),,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,National (adm0),,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,National (adm0),,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,National (adm0),,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,0,,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,0,,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,0,,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,Subnational (adm1),,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,0,,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,0,,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,0,,,,,,,,,,,,,,,,,,
Vulnerability,Vulnerable Groups,0,,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,National (adm0),,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,Subnational (adm1),,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,Subnational (adm1),,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,Subnational (adm1),,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,National (adm0),,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,Subnational (adm1),,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,National (adm0),,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,Subnational (adm1),,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,Subnational (adm1),,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,National (adm0),,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,National (adm0),,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,0,,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,Subnational (adm1),,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,Subnational (adm1),,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,Subnational (adm1),,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,National (adm0),,,,,,,,,,,,,,,,,,
Coping Capacity,Infrastructure,Subnational (adm1),,,,,,,,,,,,,,,,,,
Coping Capacity,Institutional,National (adm0),,,,,,,,,,,,,,,,,,
Coping Capacity,Institutional,0,,,,,,,,,,,,,,,,,,
Coping Capacity,Institutional,National (adm0),,,,,,,,,,,,,,,,,,
Coping Capacity,Institutional,National (adm0),,,,,,,,,,,,,,,,,,
Coping Capacity,Institutional,Subnational (adm1),,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
